Finalidad,Finalidad_imagen,Cod. y Desc. Funcion,Cod. y Desc. Funcion_imagen,Mes,Devengado Anterior,Sancionado,Presupuestado,Comprometido,Devengado,Pagado,Leyenda_Fecha_Act,Cod. Ejercicio Presupuestario
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,4 - Relaciones Exteriores,paraque/relaciones_exteriores.svg,10,"5885,49339685","8421,423358","8421,423358","6063,024071","5388,56184979","4926,35735909",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,4 - Relaciones Exteriores,paraque/relaciones_exteriores.svg,11,"5885,49339685","8421,423358","7728,847246","6142,07631125","5713,4359712","5443,98743294",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,5 - Relaciones Interiores,paraque/relaciones_interiores.svg,1,"20460,87611132","30594,544666","30594,544666","369,01009012","299,74863819","177,4255332",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,5 - Relaciones Interiores,paraque/relaciones_interiores.svg,2,"20460,87611132","30594,544666","30594,544042","1175,28783017","744,66381638","540,25323816",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,5 - Relaciones Interiores,paraque/relaciones_interiores.svg,3,"20460,87611132","30594,544666","30593,608642","2979,61445584","2592,52630691","2328,27225703",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,5 - Relaciones Interiores,paraque/relaciones_interiores.svg,4,"20460,87611132","30594,544666","30593,608642","4455,01558131","3957,94165181","3850,52319227",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,5 - Relaciones Interiores,paraque/relaciones_interiores.svg,5,"20460,87611132","30594,544666","30598,608642","5723,9753025","5231,06493441","4314,58754836",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,5 - Relaciones Interiores,paraque/relaciones_interiores.svg,6,"20460,87611132","30594,544666","30604,608642","10657,69773742","9985,81420042","9359,79780526",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,5 - Relaciones Interiores,paraque/relaciones_interiores.svg,7,"20460,87611132","30594,544666","30604,608642","12783,71071233","12248,64429419","11839,77292535",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,5 - Relaciones Interiores,paraque/relaciones_interiores.svg,8,"20460,87611132","30594,544666","30639,608642","14530,99849946","14089,64116686","13669,50440381",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,5 - Relaciones Interiores,paraque/relaciones_interiores.svg,9,"20460,87611132","30594,544666","31944,596242","19562,4757943","19268,70311579","18405,63796524",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,5 - Relaciones Interiores,paraque/relaciones_interiores.svg,10,"20460,87611132","30594,544666","32537,596242","21784,12035149","21200,64734953","20874,72952021",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,5 - Relaciones Interiores,paraque/relaciones_interiores.svg,11,"20460,87611132","30594,544666","33556,083071","23957,33339474","23673,32944214","22754,01277935",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,6 - Administración Fiscal,paraque/administracion_fiscal.svg,1,"2817,84390262","3223,494316","3223,494316","179,92155324","53,82215567","19,8637591",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,6 - Administración Fiscal,paraque/administracion_fiscal.svg,2,"2817,84390262","3223,494316","3218,49494","368,32443937","271,60741571","86,10407233",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,6 - Administración Fiscal,paraque/administracion_fiscal.svg,3,"2817,84390262","3223,494316","3218,49494","802,96054754","656,89438575","304,77765753",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,6 - Administración Fiscal,paraque/administracion_fiscal.svg,4,"2817,84390262","3223,494316","3218,49494","1065,59005234","886,38901389","543,04227902",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,6 - Administración Fiscal,paraque/administracion_fiscal.svg,5,"2817,84390262","3223,494316","3213,49494","1271,44743144","1106,97794544","760,30749986",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,6 - Administración Fiscal,paraque/administracion_fiscal.svg,6,"2817,84390262","3223,494316","3207,49494","1475,15916404","1370,14670257","983,72200724",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,6 - Administración Fiscal,paraque/administracion_fiscal.svg,7,"2817,84390262","3223,494316","3216,559379","1707,0051427","1601,21503336","1245,22506553",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,6 - Administración Fiscal,paraque/administracion_fiscal.svg,8,"2817,84390262","3223,494316","3181,559379","2003,39551471","1840,34292517","1480,55588446",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,6 - Administración Fiscal,paraque/administracion_fiscal.svg,9,"2817,84390262","3223,494316","3181,93118","2227,59200596","2114,22605059","1741,14400747",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,6 - Administración Fiscal,paraque/administracion_fiscal.svg,10,"2817,84390262","3223,494316","3246,000845","2506,94289029","2386,57862579","2007,44451487",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,6 - Administración Fiscal,paraque/administracion_fiscal.svg,11,"2817,84390262","3223,494316","3286,444845","2732,2056533","2661,36187047","2253,40236883",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,7 - Control de la Gestión Pública,paraque/control_de_la_gestion_publica.svg,1,"947,32072921","1114,245","1114,245","30,26486798","25,81493956","0,47917485",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,7 - Control de la Gestión Pública,paraque/control_de_la_gestion_publica.svg,2,"947,32072921","1114,245","1114,245","166,67162666","161,66521057","25,60224096",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,7 - Control de la Gestión Pública,paraque/control_de_la_gestion_publica.svg,3,"947,32072921","1114,245","1114,245","692,25455418","241,7033242","66,63114898",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,7 - Control de la Gestión Pública,paraque/control_de_la_gestion_publica.svg,4,"947,32072921","1114,245","1114,245","721,36517098","319,10433517","240,19896855",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,7 - Control de la Gestión Pública,paraque/control_de_la_gestion_publica.svg,5,"947,32072921","1114,245","1114,245","758,56333719","404,12386569","324,43238145",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,7 - Control de la Gestión Pública,paraque/control_de_la_gestion_publica.svg,6,"947,32072921","1114,245","1114,245","811,41627166","572,8187043","404,09325617",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,7 - Control de la Gestión Pública,paraque/control_de_la_gestion_publica.svg,7,"947,32072921","1114,245","1114,245","847,21803178","675,06857714","535,16011736",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,7 - Control de la Gestión Pública,paraque/control_de_la_gestion_publica.svg,8,"947,32072921","1114,245","1114,245","886,68763699","788,43305972","686,10141275",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
