Cod. y Desc. Inciso,Cod. y Desc. Inciso_imagen,Cod. y Desc. Principal,Cod. y Desc. Principal_imagen,Mes,Devengado Anterior,Sancionado,Presupuestado,Comprometido,Devengado,Pagado,Leyenda_Fecha_Act,Cod. Ejercicio Presupuestario
1 - Gastos en Personal,que/gastos_en_personal.svg,3 - Servicios Extraordinarios,que/servicios_extraordinarios.svg,10,"4082,2271143","4972,310646","5173,400922","4837,36064227","4275,6677821","4069,04751141",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,3 - Servicios Extraordinarios,que/servicios_extraordinarios.svg,11,"4082,2271143","4972,310646","5806,133087","5078,86090443","4858,52999899","4607,67587564",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,4 - Asignaciones Familiares,que/asignaciones_familiares.svg,1,"101,02321171","42,814755","47,514755","7,35806073","3,77108297","1,6401316",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,4 - Asignaciones Familiares,que/asignaciones_familiares.svg,2,"101,02321171","42,814755","48,724755","16,20384632","9,17536442","5,01224625",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,4 - Asignaciones Familiares,que/asignaciones_familiares.svg,3,"101,02321171","42,814755","49,139755","20,42601256","13,56770734","9,59720064",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,4 - Asignaciones Familiares,que/asignaciones_familiares.svg,4,"101,02321171","42,814755","49,139755","25,74877116","19,57831443","15,4759056",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,4 - Asignaciones Familiares,que/asignaciones_familiares.svg,5,"101,02321171","42,814755","49,639755","30,38058565","24,21122399","21,53427379",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,4 - Asignaciones Familiares,que/asignaciones_familiares.svg,6,"101,02321171","42,814755","64,439755","34,19536302","28,73570676","25,75972112",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,4 - Asignaciones Familiares,que/asignaciones_familiares.svg,7,"101,02321171","42,814755","64,706527","37,89886269","33,40277698","29,88077894",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,4 - Asignaciones Familiares,que/asignaciones_familiares.svg,8,"101,02321171","42,814755","64,706527","41,73939911","37,78484515","34,95568898",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,4 - Asignaciones Familiares,que/asignaciones_familiares.svg,9,"101,02321171","42,814755","65,397405","44,50870585","41,20995933","38,49098157",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
